Toko,Platform,Kategori Seri,Kategori Varian,penyimpanan,Battery Health,Harga,Pembayaran,Wilayah Toko,Kategori iPhone
Bojun88,Shopee,iPhone 12 Series,iPhone 12,128GB,,Rp3.749.000,"VA, E-Wallet",Jakarta Utara,Inter
syaibastore19,Shopee,iPhone 12 Series,iPhone 12,128GB,100.0,Rp3.750.000,"VA, E-Wallet",Jakarta Utara,Resmi
PS STORE PONSEL,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.760.000,"VA, E-Wallet",Jakarta Barat,Inter
Lucky PonseI,Shopee,iPhone 12 Series,iPhone 12,64GB,90.0,Rp3.760.000,"VA, E-Wallet",Jakarta Barat,Resmi
Gadget Store Cell,Shopee,iPhone 12 Series,iPhone 12,64GB,100.0,Rp3.871.200,"VA, E-Wallet",Jakarta Barat,Resmi
VOLTAPHONE,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.900.000,"VA, E-Wallet",Jakarta Utara,Resmi
Boboy Store,Shopee,iPhone 12 Series,iPhone 12,64GB,90.0,Rp3.900.000,"VA, E-Wallet",Jakarta Barat,Resmi
ICOLORON,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.900.500,"VA, E-Wallet",Tangerang Selatan,Resmi
AMGSTORE,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.911.112,"VA, E-Wallet",Tangerang,Resmi
ICOLORON,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp3.991.500,"VA, E-Wallet",Tangerang Selatan,Resmi
Agengstore1108,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp4.000.000,"VA, E-Wallet",Jakarta Utara,Resmi
ICOLORON,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp4.040.000,"VA, E-Wallet",Tangerang Selatan,Resmi
Arisa store68,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp4.099.000,"VA, E-Wallet",Jakarta Utara,Inter
Super01Store,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp4.100.000,"VA, E-Wallet",Jakarta Barat,Resmi
Bluelaky Shop,Shopee,iPhone 12 Series,iPhone 12,128GB,,Rp4.188.000,"VA, E-Wallet",Jakarta Utara,Inter
Gadget Store Cell,Shopee,iPhone 12 Series,iPhone 12,64GB,99.0,Rp4.371.200,"VA, E-Wallet",Jakarta Barat,Resmi
Jordan Corner,Shopee,iPhone 12 Series,iPhone 12,64GB,,Rp4.408.000,"VA, E-Wallet",Yogyakarta,Resmi
Kino Phone Cell,Shopee,iPhone 12 Series,iPhone 12,64GB,90.0,Rp4.470.000,"VA, E-Wallet",Jakarta Pusat,Beacukai
Boboy Store,Shopee,iPhone 12 Series,iPhone 12,64GB,90.0,Rp5.250.000,"VA, E-Wallet",Jakarta Barat,Resmi
